step,elapsed_seconds,sensor_id,congestion
2,600,1201977,0.0
2,600,1201985,0.0
2,600,1201987,0.0
2,600,1201998,0.0
2,600,1202011,0.0
2,600,1202024,0.0
2,600,1202040,0.0
2,600,1202053,0.0
2,600,1202067,0.0
2,600,1202078,0.0
2,600,1202093,0.0
2,600,1202105,0.0
2,600,1202118,0.0
2,600,1202132,0.0
2,600,1202146,0.0
2,600,1202160,0.0
2,600,1202172,0.0
2,600,1202186,0.0
2,600,1202201,0.0
2,600,1202215,0.0
2,600,1202230,0.0
2,600,1202248,0.0
2,600,1202263,0.0
2,600,1202278,0.0
2,600,1202290,0.0
2,600,1202308,0.0
2,600,1202322,0.0
2,600,1202337,0.0
2,600,1202353,0.0
2,600,1202365,0.0
2,600,1202373,0.0
2,600,1202380,0.0
2,600,1202394,0.0
2,600,1202408,0.0
2,600,1202422,0.0
2,600,1202436,0.0
2,600,1202451,0.0
2,600,1202464,0.0
2,600,1202475,0.0
2,600,1202522,0.0
2,600,1202527,0.0
2,600,1202537,0.0
2,600,1202549,0.0
2,600,1202564,0.0
2,600,1202574,0.0
2,600,1202590,0.0
2,600,1202595,0.0
2,600,1202599,0.0
2,600,1202610,0.0
2,600,1202614,0.0
2,600,1202627,0.0
2,600,1202631,0.0
2,600,1202648,0.0
2,600,1202663,0.0
2,600,1202676,0.0
2,600,1202691,0.0
2,600,1202701,0.0
2,600,1202705,0.0
2,600,1202720,0.0
2,600,1202724,0.0
2,600,1202738,0.0
2,600,1202742,0.0
2,600,1202753,0.0
2,600,1202766,0.0
2,600,1202779,0.0
2,600,1202785,0.0
2,600,1202789,0.0
2,600,1202803,0.0
2,600,1202814,0.0
2,600,1202827,0.0
2,600,1202840,0.0
2,600,1202844,0.0
2,600,1202855,0.0
2,600,1202859,0.0
2,600,1202872,0.0
2,600,1202885,0.0
2,600,1202901,0.0
2,600,1202912,0.0
2,600,1202917,0.0
2,600,1202921,0.0
2,600,1202929,0.0
2,600,1202938,0.0
2,600,1202949,0.0
2,600,1202960,0.0
2,600,1202964,0.0
2,600,1202977,0.0
2,600,1202981,0.0
2,600,1202993,0.0
2,600,1203016,0.0
2,600,1203021,0.0
2,600,1203035,0.0
2,600,1203040,0.0
